X,Y,zettaicode,suikeicode,prefcode,suiikicode,chitencode,chitenflag,nendo,locationname,rlscode,kijunflag1,kijunflag2,water,latitude,longitude,kijunflag3
138.8622222,35.10055556,"2211380","","22","353","10",3,2021,"狢川",1,"3","0","狢川",35.10055556,138.8622222,""
135.41833334,34.4825,"2710530","","27","032","01",1,2021,"繁和橋",1,"1","","槇尾川",34.4825,135.41833334,""
135.41833334,34.4825,"2710530","","27","032","01",1,2021,"繁和橋",1,"1","","槇尾川",34.4825,135.41833334,""
133.87263889,35.40083333,"3110610","","31","219","01",3,2021,"森",1,"3","3","加茂川",35.40083333,133.87263889,""
139.8675,38.98,"0610290","","06","012","01",1,2021,"日向橋",1,"1","","日向川",38.98,139.8675,""
142.7988889,43.83111111,"0110010","","01","001","01",1,2021,"留辺志部川合流前（日東吊橋）",1,"1","0","石狩川上流（１）",43.83111111,142.7988889,""
142.4261111,43.81833333,"0110030","","01","002","02",1,2021,"永山橋",1,"1","3","石狩川上流（２）",43.81833333,142.4261111,""
142.40222222,43.80527778,"0114370","","01","002","53",2,2021,"旭川市石狩川浄水場取水口",1,"2","3","石狩川上流（２）",43.80527778,142.40222222,""
141.5430556,43.12444444,"0110060","","01","004","01",1,2021,"石狩大橋",1,"1","3","石狩川中流・下流",43.12444444,141.5430556,""
141.8972222,43.50444444,"0113460","","01","004","02",1,2021,"砂川大橋",1,"1","3","石狩川中流・下流",43.50444444,141.8972222,""
141.3519444,43.22888889,"0110070","","01","004","51",2,2021,"石狩河口橋",1,"2","3","石狩川中流・下流",43.22888889,141.3519444,""
141.51138889,43.13666666,"0110080","","01","004","52",2,2021,"新石狩大橋",1,"2","0","石狩川中流・下流",43.13666666,141.51138889,""
141.845,43.43027778,"0110090","","01","004","53",2,2021,"奈井江大橋",1,"2","3","石狩川中流・下流",43.43027778,141.845,""
141.66138889,43.0575,"0110110","","01","004","55",2,2021,"たっぷ大橋（旧岩見沢大橋）",1,"2","3","石狩川中流・下流",43.0575,141.66138889,""
